ID,category,video_title_length,likes,views,post_date,channel_url,channel_name,video_url,Viral
63,Tutorials,74,4885,91717,11-Jul-24,https://www.youtube.com/@MissouriQuiltCo,Missouri Star,https://www.youtube.com/watch?v=8-Zml2A0R2c,1
64,Tutorials,62,155083,9299671,25-Aug-20,https://www.youtube.com/@RosinaSharon,Rosina Sharon,https://www.youtube.com/watch?v=N4Q2d95pt94,1
65,Tutorials,77,600,11392,19-Jul-24,https://www.youtube.com/@KatsuoOfficial,Katsuo,https://www.youtube.com/watch?v=L0rPhe0PeZU,1
66,Tutorials,26,909858,15626022,26-Sep-19,https://www.youtube.com/@Jombo1,Jombo,https://www.youtube.com/watch?v=MAlSjtxy5ak,1
67,Tutorials,34,70844,4543189,6-Jul-22,https://www.youtube.com/@BeAmazed,BE AMAZED,https://www.youtube.com/watch?v=Ayhct2DylC4,1
68,Tutorials,52,51562,2205082,9-May-23,https://www.youtube.com/@ApnaCollegeOfficial,Apna College,https://www.youtube.com/watch?v=wLk2xRzhbjk,0
69,Tutorials,98,22398,1327659,3-Jun-19,https://www.youtube.com/@SimplilearnOfficial,Simplilearn,https://www.youtube.com/watch?v=6M5VXKLf4D4,1
70,Tutorials,31,25174,1686267,6-Jun-23,https://www.youtube.com/@KevinStratvert,Kevin Stratvert,https://www.youtube.com/watch?v=NNSHu0rkew8,0
71,Education,21,25098,1313256,13-May-15,https://www.youtube.com/@theschooloflifetv,The School of Life,https://www.youtube.com/watch?v=HndV87XpkWg,0
72,Education,54,503840,8343139,9-Dec-22,https://www.youtube.com/@dhruvrathee,Dhruv Rathee,https://www.youtube.com/watch?v=hVvAkPbJwnw,1
73,Education,99,1587,6553,19-Jul-24,https://www.youtube.com/@deepakyadaveducation,Deepak Yadav Education,https://www.youtube.com/watch?v=PHGUIcalH7A,1
74,Education,50,7304,265865,10-May-24,https://www.youtube.com/@EvidentP,Evident,https://www.youtube.com/watch?v=LNDByJyWLUY,1
75,Education,92,614561,193017449,22-May-21,https://www.youtube.com/@CoComelon,Cocomelon - Nursery Rhymes,https://www.youtube.com/watch?v=7i68cD70dEE,1
76,Education,100,2141,78844,Premiered on 2 May 2024,https://www.youtube.com/@SHUKLASTUDYPOINT,SHUKLA STUDY POINT,https://www.youtube.com/watch?v=8Q23ywlNiOk,0
77,Education,50,437,21040,21-Jun-23,https://www.youtube.com/@TEDx,TEDx Talks,https://www.youtube.com/watch?v=XuVuoJDK_E8,0
78,Education,50,5369,227126,27-Aug-20,https://www.youtube.com/@CNBCi,CNBC International,https://www.youtube.com/watch?v=T-JVpKku5SI,0
79,Education,58,42613,1506859,1-May-23,https://www.youtube.com/@TED,TED,https://www.youtube.com/watch?v=hJP5GqnTrNo,0
80,Education,58,41307,4032092,20-Apr-15,https://www.youtube.com/@hallandoatesVEVO,Daryl Hall & John Oates,https://www.youtube.com/watch?v=XLYqTZKEpvs,1
81,Education,83,0,230,19-Jul-24,https://www.youtube.com/@NDTV,NDTV,https://www.youtube.com/watch?v=lnDRt9CcMFw,1
82,Education,54,35396,691974,7-Apr-24,https://www.youtube.com/@PeepAnimates,Peep Animates,https://www.youtube.com/watch?v=DO1r5tUf4H4,0
83,Education,52,2242,194688,28-Nov-17,https://www.youtube.com/@TEDx,TEDx Talks,https://www.youtube.com/watch?v=OMbNoo4mCcI,0
84,Education,89,32148,671935,21-Jun-24,https://www.youtube.com/@soristudioanimation,Sori studio!,https://www.youtube.com/watch?v=otsTnkEsaWA,1
85,Education,64,29843,541051,15-Jun-24,https://www.youtube.com/@BasicPaperTheory,BasicPaperTheory,https://www.youtube.com/watch?v=fmSZ2LT90EM,1
86,Education,29,509613,13705776,9-Jul-21,https://www.youtube.com/@veritasium,Veritasium,https://www.youtube.com/watch?v=rhgwIhB58PA,0
87,Education,36,73211,1395649,20-Aug-12,https://www.youtube.com/@EducationConnection,Education Connection,https://www.youtube.com/watch?v=IrODhcpboW8,1
88,Education,56,285593,3180136,30-Apr-24,https://www.youtube.com/@The_SaqlainKhan,Saqlain Khan,https://www.youtube.com/watch?v=h4Ue98USW2U,0
89,Education,92,14599,8825980,8-Jan-21,https://www.youtube.com/@LittleFoxKids,Little Fox - Kids Stories and Songs,https://www.youtube.com/watch?v=ctQfCUY1CdA,0
90,Video Game,35,2790,37857,19-Jul-24,https://www.youtube.com/@ScottsStash,Scott's Stash,https://www.youtube.com/watch?v=PHQ1yxjfN3o,0
91,Video Game,26,2515058,348786056,16-Oct-11,https://www.youtube.com/@LanaDelReyVEVO,Lana Del Rey,https://www.youtube.com/watch?v=cE6wxDqdOV0,0
92,Video Game,35,7844,890218,27-Mar-24,https://www.youtube.com/@LostPanda,Lost Panda,https://www.youtube.com/watch?v=hAV9ideCFEc,0
93,Video Game,50,,87588855,28-Jun-23,https://www.youtube.com/@gamingaadii,Gaming aadii ,https://www.youtube.com/watch?v=GyO1MtLhyt0,1
94,Video Game,45,1533329,77167433,14-Jun-21,https://www.youtube.com/@TechnoGamerzOfficial,Techno Gamerz,https://www.youtube.com/watch?v=svZJbP1P-sA,0
95,Video Game,72,8182,594788,7-May-24,https://www.youtube.com/@chatpattoytv,chatpat toy tv,https://www.youtube.com/watch?v=Dft9qfqiTJ4,0
96,Video Game,98,19730,3234118,22-Jun-24,https://www.youtube.com/@marjangamingx,Marjan Gaming,https://www.youtube.com/watch?v=tp3n_gENG8o,0
97,Video Game,78,1,15,18-Jul-24,https://www.youtube.com/@HighlightGamer14,Highlight Gamer,https://www.youtube.com/watch?v=Ej7zrG79iC0,0
98,Video Game,53,7236,749280,18-Jul-24,https://www.youtube.com/@HarshTatsuya,HarshTatsuya,https://www.youtube.com/watch?v=4DpawScRA54,1
99,Video Game,45,45,1441,19-Jul-24,https://www.youtube.com/@GamingQuizShow,Gaming Quizz,https://www.youtube.com/watch?v=SLOgsQc_JKM,1
100,Video Game,99,55207,17669913,3-Mar-24,https://www.youtube.com/@Kingandroidgames2,King android games 2,https://www.youtube.com/watch?v=ywm0E6MO7xk,0
101,Video Game,64,2818,133912,18-Jul-24,https://www.youtube.com/@IGN,IGN,https://www.youtube.com/watch?v=4jFQJ8jXH_4,0
102,Video Game,27,393215,11232880,13-Mar-24,https://www.youtube.com/@GeekStreet,Geek Street,https://www.youtube.com/watch?v=88o7op5yVTw,0
103,Video Game,30,279,2647,19-Jul-24,https://www.youtube.com/@chillvgm,alf ??,https://www.youtube.com/watch?v=ZkxvQPlJ_Xg,1
104,Unboxing Videos,106,8047,396430,26-May-24,https://www.youtube.com/@rhia.official,Rhia Official,https://www.youtube.com/watch?v=uL7nW_t2Xf4,1
105,Unboxing Videos,66,481253,14060807,15-May-22,https://www.youtube.com/@CrazyXYZ,Crazy XYZ,https://www.youtube.com/watch?v=jWbze1ThxS8,0
106,Unboxing Videos,100,111079,5776128,13-May-24,https://www.youtube.com/@ToyToyUnboxing68,ToyToy Unboxing,https://www.youtube.com/watch?v=mf9zGeZTy_U,1
107,Unboxing Videos,26,139650,3041419,18-Jun-22,https://www.youtube.com/@AndreoBee,AndreoBee,https://www.youtube.com/watch?v=4NApnhk7MTY,0
108,Unboxing Videos,103,11640,562692,28-Feb-24,https://www.youtube.com/@rhia.official,Rhia Official,https://www.youtube.com/watch?v=FbF5NAVZJl8,1
109,Unboxing Videos,96,2533,19420,18-Jul-24,https://www.youtube.com/@BoxTina-oe4yz,Box Tina,https://www.youtube.com/watch?v=oz71TjqhQGI,1
110,Unboxing Videos,41,83801,5849582,1-Dec-23,https://www.youtube.com/@rug,FaZe Rug,https://www.youtube.com/watch?v=mBT6IuSRmss,1
111,Unboxing Videos,74,3408,195364,19-Jul-24,https://www.youtube.com/@chatpattoytv,chatpat toy tv,https://www.youtube.com/watch?v=5Y4neTTD-BM,1
112,Unboxing Videos,43,103006,5467628,Premiered on 12 Aug 2020,https://www.youtube.com/@TheRelaxingEnd,TheRelaxingEnd,https://www.youtube.com/watch?v=R2YXDPtiP4k,1
113,Unboxing Videos,94,682396,33229519,28-Aug-19,https://www.youtube.com/@TheRelaxingEnd,TheRelaxingEnd,https://www.youtube.com/watch?v=uBvctIfcNQU,1
114,Unboxing Videos,30,209484,3992294,13-Jul-21,https://www.youtube.com/@PhoneBuffShorts,PhoneBuff Shorts,https://www.youtube.com/watch?v=f9lz8wLycVk,1
115,Unboxing Videos,42,233359,6249826,30-May-23,https://www.youtube.com/@GBKuhleen,GB Kuhleen,https://www.youtube.com/watch?v=_7-NCszhw3A,0
116,Unboxing Videos,77,20443,395223,17-Jul-24,https://www.youtube.com/@TrakinTech,Trakin Tech,https://www.youtube.com/watch?v=MATAXiDIEq8,1
